Crypto_Code,price,datetime
BTC,63929.925852941626,2024-04-28 19:00:00
BTC,63764.20569330989,2024-04-28 18:00:00
BTC,63659.52027758052,2024-04-28 17:00:00
BTC,63527.723840450366,2024-04-28 16:00:00
BTC,63588.07545086395,2024-04-28 15:00:00
BTC,63749.136951512366,2024-04-28 14:00:00
BTC,63587.01913771487,2024-04-28 13:00:00
BTC,63453.372003314435,2024-04-28 12:00:00
BTC,63639.18614471329,2024-04-28 11:00:00
BTC,63718.59895253952,2024-04-28 10:00:00
BTC,63720.98437868493,2024-04-28 09:00:00
BTC,63876.574451960674,2024-04-28 08:00:00
BTC,63974.80555857782,2024-04-28 07:00:00
BTC,63913.358394310904,2024-04-28 06:00:00
BTC,63835.324234657084,2024-04-28 05:00:00
BTC,63976.398730715206,2024-04-28 04:00:00
BTC,63904.44488452921,2024-04-28 03:00:00
BTC,63545.32419448401,2024-04-28 02:00:00
BTC,63570.90432010746,2024-04-28 01:00:00
BTC,63394.9930544734,2024-04-28 00:00:00
BTC,63236.31119047438,2024-04-27 23:00:00
BTC,63244.60053202888,2024-04-27 22:00:00
BTC,63224.953736192176,2024-04-27 21:00:00
BTC,63296.650013250604,2024-04-27 20:00:00
BTC,63263.61352529661,2024-04-27 19:00:00
BTC,63405.5805026512,2024-04-27 18:00:00
BTC,62733.44692792694,2024-04-27 17:00:00
BTC,62915.824706705556,2024-04-27 16:00:00
BTC,63115.398772440625,2024-04-27 15:00:00
BTC,63197.08206313354,2024-04-27 14:00:00
BTC,62997.46409848688,2024-04-27 13:00:00
BTC,62836.04234668883,2024-04-27 12:00:00
BTC,62751.432064903514,2024-04-27 11:00:00
BTC,62931.11352813524,2024-04-27 10:00:00
BTC,62974.580289400634,2024-04-27 09:00:00
BTC,62927.54516807768,2024-04-27 08:00:00
BTC,62978.37519374921,2024-04-27 07:00:00
BTC,62975.48077459796,2024-04-27 06:00:00
BTC,62999.417319530585,2024-04-27 05:00:00
BTC,63056.871216333006,2024-04-27 04:00:00
BTC,62934.74691761877,2024-04-27 03:00:00
BTC,62593.26328372768,2024-04-27 02:00:00
BTC,63088.7509555267,2024-04-27 01:00:00
BTC,63751.76615028954,2024-04-27 00:00:00
BTC,63805.51801456799,2024-04-26 23:00:00
BTC,64054.99844147635,2024-04-26 22:00:00
BTC,63909.55528074182,2024-04-26 21:00:00
BTC,63901.1611861716,2024-04-26 20:00:00
BTC,63978.68888766089,2024-04-26 19:00:00
BTC,64006.05470659427,2024-04-26 18:00:00
